concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
10108,O36.90,"Maternal care for fetal problem, unspecified, unspecified trimester",ICD10CM,10,FALSE
10109,O36.91,"Maternal care for fetal problem, unspecified, first trimester",ICD10CM,10,FALSE
10110,O36.92,"Maternal care for fetal problem, unspecified, second trimester",ICD10CM,10,FALSE
10111,O36.93,"Maternal care for fetal problem, unspecified, third trimester",ICD10CM,10,FALSE
10112,O40.1,"Polyhydramnios, first trimester",ICD10CM,10,FALSE
10113,O40.2,"Polyhydramnios, second trimester",ICD10CM,10,FALSE
10114,O40.3,"Polyhydramnios, third trimester",ICD10CM,10,FALSE
10115,O40.9,"Polyhydramnios, unspecified trimester",ICD10CM,10,FALSE
10116,O41.00,"Oligohydramnios, unspecified trimester",ICD10CM,10,FALSE
10117,O41.01,"Oligohydramnios, first trimester",ICD10CM,10,FALSE
10118,O41.02,"Oligohydramnios, second trimester",ICD10CM,10,FALSE
10119,O41.03,"Oligohydramnios, third trimester",ICD10CM,10,FALSE
10120,O41.101,"Infection of amniotic sac and membranes, unspecified, first trimester",ICD10CM,10,FALSE
10121,O41.102,"Infection of amniotic sac and membranes, unspecified, second trimester",ICD10CM,10,FALSE
10122,O41.103,"Infection of amniotic sac and membranes, unspecified, third trimester",ICD10CM,10,FALSE
10123,O41.109,"Infection of amniotic sac and membranes, unspecified, unspecified trimester",ICD10CM,10,FALSE
10124,O41.121,"Chorioamnionitis, first trimester",ICD10CM,10,FALSE
10125,O41.122,"Chorioamnionitis, second trimester",ICD10CM,10,FALSE
10126,O41.123,"Chorioamnionitis, third trimester",ICD10CM,10,FALSE
10127,O41.129,"Chorioamnionitis, unspecified trimester",ICD10CM,10,FALSE
10128,O41.141,"Placentitis, first trimester",ICD10CM,10,FALSE
10129,O41.142,"Placentitis, second trimester",ICD10CM,10,FALSE
10130,O41.143,"Placentitis, third trimester",ICD10CM,10,FALSE
10131,O41.149,"Placentitis, unspecified trimester",ICD10CM,10,FALSE
10132,O41.8X1,"Other specified disorders of amniotic fluid and membranes, first trimester",ICD10CM,10,FALSE
10133,O41.8X2,"Other specified disorders of amniotic fluid and membranes, second trimester",ICD10CM,10,FALSE
10134,O41.8X3,"Other specified disorders of amniotic fluid and membranes, third trimester",ICD10CM,10,FALSE
10135,O41.8X9,"Other specified disorders of amniotic fluid and membranes, unspecified trimester",ICD10CM,10,FALSE
10136,O41.90,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester",ICD10CM,10,FALSE
10137,O41.91,"Disorder of amniotic fluid and membranes, unspecified, first trimester",ICD10CM,10,FALSE
10138,O41.92,"Disorder of amniotic fluid and membranes, unspecified, second trimester",ICD10CM,10,FALSE
10139,O41.93,"Disorder of amniotic fluid and membranes, unspecified, third trimester",ICD10CM,10,FALSE
10140,O60.10,"Preterm labor with preterm delivery, unspecified trimester",ICD10CM,10,FALSE
10141,O60.12,Preterm labor second trimester with preterm delivery second trimester,ICD10CM,10,FALSE
10142,O60.13,Preterm labor second trimester with preterm delivery third trimester,ICD10CM,10,FALSE
10143,O60.14,Preterm labor third trimester with preterm delivery third trimester,ICD10CM,10,FALSE
10144,O60.20,"Term delivery with preterm labor, unspecified trimester",ICD10CM,10,FALSE
10145,O60.22,"Term delivery with preterm labor, second trimester",ICD10CM,10,FALSE
10146,O60.23,"Term delivery with preterm labor, third trimester",ICD10CM,10,FALSE
10147,O64.0,Obstructed labor due to incomplete rotation of fetal head,ICD10CM,10,FALSE
10148,O64.1,Obstructed labor due to breech presentation,ICD10CM,10,FALSE
10149,O64.2,Obstructed labor due to face presentation,ICD10CM,10,FALSE
10150,O64.3,Obstructed labor due to brow presentation,ICD10CM,10,FALSE
10151,O64.4,Obstructed labor due to shoulder presentation,ICD10CM,10,FALSE
10152,O64.5,Obstructed labor due to compound presentation,ICD10CM,10,FALSE
10153,O64.8,Obstructed labor due to other malposition and malpresentation,ICD10CM,10,FALSE
10154,O64.9,"Obstructed labor due to malposition and malpresentation, unspecified",ICD10CM,10,FALSE
10155,O69.0,Labor and delivery complicated by prolapse of cord,ICD10CM,10,FALSE
10156,O69.1,"Labor and delivery complicated by cord around neck, with compression",ICD10CM,10,FALSE
10157,O69.2,"Labor and delivery complicated by other cord entanglement, with compression",ICD10CM,10,FALSE
10158,O69.3,Labor and delivery complicated by short cord,ICD10CM,10,FALSE
10159,O69.4,Labor and delivery complicated by vasa previa,ICD10CM,10,FALSE
10160,O69.5,Labor and delivery complicated by vascular lesion of cord,ICD10CM,10,FALSE
10161,O69.81,"Labor and delivery complicated by cord around neck, without compression",ICD10CM,10,FALSE
10162,O69.82,"Labor and delivery complicated by other cord entanglement, without compression",ICD10CM,10,FALSE
10163,O69.89,Labor and delivery complicated by other cord complications,ICD10CM,10,FALSE
10164,O69.9,"Labor and delivery complicated by cord complication, unspecified",ICD10CM,10,FALSE
725448,O34.218,Maternal care for other type scar from previous cesarean delivery,ICD10CM,10,FALSE
725449,O34.22,Maternal care for cesarean scar defect (isthmocele),ICD10CM,10,FALSE
1326728,O00.101,Right tubal pregnancy without intrauterine pregnancy,ICD10CM,10,FALSE
1326729,O00.102,Left tubal pregnancy without intrauterine pregnancy,ICD10CM,10,FALSE
1326730,O00.109,Unspecified tubal pregnancy without intrauterine pregnancy,ICD10CM,10,FALSE
1326731,O00.111,Right tubal pregnancy with intrauterine pregnancy,ICD10CM,10,FALSE
1326732,O00.112,Left tubal pregnancy with intrauterine pregnancy,ICD10CM,10,FALSE
1326733,O00.119,Unspecified tubal pregnancy with intrauterine pregnancy,ICD10CM,10,FALSE
1326734,O00.201,Right ovarian pregnancy without intrauterine pregnancy,ICD10CM,10,FALSE
1326735,O00.202,Left ovarian pregnancy without intrauterine pregnancy,ICD10CM,10,FALSE
1326736,O00.209,Unspecified ovarian pregnancy without intrauterine pregnancy,ICD10CM,10,FALSE
1326737,O00.211,Right ovarian pregnancy with intrauterine pregnancy,ICD10CM,10,FALSE
1326738,O00.212,Left ovarian pregnancy with intrauterine pregnancy,ICD10CM,10,FALSE
1326739,O00.219,Unspecified ovarian pregnancy with intrauterine pregnancy,ICD10CM,10,FALSE
1326740,O36.83,Maternal care for abnormalities of the fetal heart rate or rhythm,ICD10CM,10,FALSE
1326741,O36.831,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester",ICD10CM,10,FALSE
1326742,O36.8310,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, not applicable or unspecified",ICD10CM,10,FALSE
1326743,O36.8311,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 1",ICD10CM,10,FALSE
1326744,O36.8312,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 2",ICD10CM,10,FALSE
1326745,O36.8313,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 3",ICD10CM,10,FALSE
1326746,O36.8314,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 4",ICD10CM,10,FALSE
1326747,O36.8315,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 5",ICD10CM,10,FALSE
1326748,O36.8319,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, other fetus",ICD10CM,10,FALSE
1326749,O36.832,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester",ICD10CM,10,FALSE
1326750,O36.8320,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, not applicable or unspecified",ICD10CM,10,FALSE
1326751,O36.8321,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 1",ICD10CM,10,FALSE
1326752,O36.8322,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 2",ICD10CM,10,FALSE
1326753,O36.8323,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 3",ICD10CM,10,FALSE
1326754,O36.8324,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 4",ICD10CM,10,FALSE
1326755,O36.8325,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 5",ICD10CM,10,FALSE
1326756,O36.8329,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, other fetus",ICD10CM,10,FALSE
1326757,O36.833,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester",ICD10CM,10,FALSE
1326758,O36.8330,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, not applicable or unspecified",ICD10CM,10,FALSE
1326759,O36.8331,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 1",ICD10CM,10,FALSE
1326760,O36.8332,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 2",ICD10CM,10,FALSE
1326761,O36.8333,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 3",ICD10CM,10,FALSE
1326762,O36.8334,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 4",ICD10CM,10,FALSE
1326763,O36.8335,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 5",ICD10CM,10,FALSE
1326764,O36.8339,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, other fetus",ICD10CM,10,FALSE
1326765,O36.839,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester",ICD10CM,10,FALSE
1326766,O36.8390,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, not applicable or unspecified",ICD10CM,10,FALSE
1326767,O36.8391,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 1",ICD10CM,10,FALSE
1326768,O36.8392,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 2",ICD10CM,10,FALSE
1326769,O36.8393,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 3",ICD10CM,10,FALSE
1326770,O36.8394,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 4",ICD10CM,10,FALSE
1326771,O36.8395,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 5",ICD10CM,10,FALSE
1326772,O36.8399,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, other fetus",ICD10CM,10,FALSE
1571602,O00,Ectopic pregnancy,ICD10CM,10,FALSE
1571603,O01,Hydatidiform mole,ICD10CM,10,FALSE
1571604,O02,Other abnormal products of conception,ICD10CM,10,FALSE
1571605,O03,Spontaneous abortion,ICD10CM,10,FALSE
1571606,O03.3,Other and unspecified complications following incomplete spontaneous abortion,ICD10CM,10,FALSE
1571607,O03.8,Other and unspecified complications following complete or unspecified spontaneous abortion,ICD10CM,10,FALSE
1571608,O04,Complications following (induced) termination of pregnancy,ICD10CM,10,FALSE
1571609,O04.8,(Induced) termination of pregnancy with other and unspecified complications,ICD10CM,10,FALSE
1571610,O07,Failed attempted termination of pregnancy,ICD10CM,10,FALSE
1571611,O07.3,Failed attempted termination of pregnancy with other and unspecified complications,ICD10CM,10,FALSE
1571612,O08,Complications following ectopic and molar pregnancy,ICD10CM,10,FALSE
1571613,O08.8,Other complications following an ectopic and molar pregnancy,ICD10CM,10,FALSE
1571614,O09,Supervision of high risk pregnancy,ICD10CM,10,FALSE
1571615,O09.0,Supervision of pregnancy with history of infertility,ICD10CM,10,FALSE
1571617,O09.2,Supervision of pregnancy with other poor reproductive or obstetric history,ICD10CM,10,FALSE
1571618,O09.21,Supervision of pregnancy with history of pre-term labor,ICD10CM,10,FALSE
1571619,O09.29,Supervision of pregnancy with other poor reproductive or obstetric history,ICD10CM,10,FALSE
1571620,O09.3,Supervision of pregnancy with insufficient antenatal care,ICD10CM,10,FALSE
1571621,O09.4,Supervision of pregnancy with grand multiparity,ICD10CM,10,FALSE
1571622,O09.5,Supervision of elderly primigravida and multigravida,ICD10CM,10,FALSE
1571623,O09.51,Supervision of elderly primigravida,ICD10CM,10,FALSE
1571624,O09.52,Supervision of elderly multigravida,ICD10CM,10,FALSE
1571625,O09.6,Supervision of young primigravida and multigravida,ICD10CM,10,FALSE
1571626,O09.61,Supervision of young primigravida,ICD10CM,10,FALSE
1571627,O09.62,Supervision of young multigravida,ICD10CM,10,FALSE
1571628,O09.7,Supervision of high risk pregnancy due to social problems,ICD10CM,10,FALSE
1571629,O09.8,Supervision of other high risk pregnancies,ICD10CM,10,FALSE
1571630,O09.81,Supervision of pregnancy resulting from assisted reproductive technology,ICD10CM,10,FALSE
1571632,O09.89,Supervision of other high risk pregnancies,ICD10CM,10,FALSE
1571633,O09.9,"Supervision of high risk pregnancy, unspecified",ICD10CM,10,FALSE
1571634,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571635,O10.0,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571636,O10.01,Pre-existing essential hypertension complicating pregnancy,ICD10CM,10,FALSE
1571637,O10.1,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571638,O10.11,Pre-existing hypertensive heart disease complicating pregnancy,ICD10CM,10,FALSE
1571639,O10.2,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571640,O10.21,Pre-existing hypertensive chronic kidney disease complicating pregnancy,ICD10CM,10,FALSE
1571641,O10.3,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571642,O10.31,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,ICD10CM,10,FALSE
1571643,O10.4,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571644,O10.41,Pre-existing secondary hypertension complicating pregnancy,ICD10CM,10,FALSE
1571645,O10.9,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571646,O10.91,Unspecified pre-existing hypertension complicating pregnancy,ICD10CM,10,FALSE
1571647,O11,Pre-existing hypertension with pre-eclampsia,ICD10CM,10,FALSE
1571648,O12,Gestational [pregnancy-induced] edema and proteinuria without hypertension,ICD10CM,10,FALSE
1571649,O12.0,Gestational edema,ICD10CM,10,FALSE
1571650,O12.1,Gestational proteinuria,ICD10CM,10,FALSE
1571651,O12.2,Gestational edema with proteinuria,ICD10CM,10,FALSE
1571652,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,ICD10CM,10,FALSE
1571653,O14,Pre-eclampsia,ICD10CM,10,FALSE
1571654,O14.0,Mild to moderate pre-eclampsia,ICD10CM,10,FALSE
1571655,O14.1,Severe pre-eclampsia,ICD10CM,10,FALSE
1571656,O14.9,Unspecified pre-eclampsia,ICD10CM,10,FALSE
1571657,O15,Eclampsia,ICD10CM,10,FALSE
1571658,O15.0,Eclampsia complicating pregnancy,ICD10CM,10,FALSE
1571659,O16,Unspecified maternal hypertension,ICD10CM,10,FALSE
1571660,O20,Hemorrhage in early pregnancy,ICD10CM,10,FALSE
1571661,O21,Excessive vomiting in pregnancy,ICD10CM,10,FALSE
1571662,O22,Venous complications and hemorrhoids in pregnancy,ICD10CM,10,FALSE
1571665,O22.2,Superficial thrombophlebitis in pregnancy,ICD10CM,10,FALSE
1571666,O22.3,Deep phlebothrombosis in pregnancy,ICD10CM,10,FALSE
1571667,O22.4,Hemorrhoids in pregnancy,ICD10CM,10,FALSE
1571668,O22.5,Cerebral venous thrombosis in pregnancy,ICD10CM,10,FALSE
1571669,O22.8,Other venous complications in pregnancy,ICD10CM,10,FALSE
1571670,O22.8X,Other venous complications in pregnancy,ICD10CM,10,FALSE
1571671,O22.9,"Venous complication in pregnancy, unspecified",ICD10CM,10,FALSE
1571672,O23,Infections of genitourinary tract in pregnancy,ICD10CM,10,FALSE
1571673,O23.0,Infections of kidney in pregnancy,ICD10CM,10,FALSE
1571674,O23.1,Infections of bladder in pregnancy,ICD10CM,10,FALSE
1571675,O23.2,Infections of urethra in pregnancy,ICD10CM,10,FALSE
1571676,O23.3,Infections of other parts of urinary tract in pregnancy,ICD10CM,10,FALSE
1571677,O23.4,Unspecified infection of urinary tract in pregnancy,ICD10CM,10,FALSE
1571678,O23.5,Infections of the genital tract in pregnancy,ICD10CM,10,FALSE
1571679,O23.51,Infection of cervix in pregnancy,ICD10CM,10,FALSE
1571680,O23.52,Salpingo-oophoritis in pregnancy,ICD10CM,10,FALSE
1571681,O23.59,Infection of other part of genital tract in pregnancy,ICD10CM,10,FALSE
1571682,O23.9,Unspecified genitourinary tract infection in pregnancy,ICD10CM,10,FALSE
1571683,O24,"Diabetes mellitus in pregnancy, childbirth, and the puerperium",ICD10CM,10,FALSE
1571684,O24.0,"Pre-existing type 1 diabetes mellitus, in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571685,O24.01,"Pre-existing type 1 diabetes mellitus, in pregnancy",ICD10CM,10,FALSE
1571686,O24.1,"Pre-existing type 2 diabetes mellitus, in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571687,O24.11,"Pre-existing type 2 diabetes mellitus, in pregnancy",ICD10CM,10,FALSE
1571688,O24.3,"Unspecified pre-existing diabetes mellitus in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571689,O24.31,Unspecified pre-existing diabetes mellitus in pregnancy,ICD10CM,10,FALSE
1571690,O24.4,Gestational diabetes mellitus,ICD10CM,10,FALSE
1571691,O24.41,Gestational diabetes mellitus in pregnancy,ICD10CM,10,FALSE
1571692,O24.42,Gestational diabetes mellitus in childbirth,ICD10CM,10,FALSE
1571693,O24.43,Gestational diabetes mellitus in the puerperium,ICD10CM,10,FALSE
1571694,O24.8,"Other pre-existing diabetes mellitus in pregnancy, childbirth, and the puerperium",ICD10CM,10,FALSE
1571695,O24.81,Other pre-existing diabetes mellitus in pregnancy,ICD10CM,10,FALSE
1571696,O24.9,"Unspecified diabetes mellitus in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571697,O24.91,Unspecified diabetes mellitus in pregnancy,ICD10CM,10,FALSE
1571698,O25,"Malnutrition in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571699,O26,Maternal care for other conditions predominantly related to pregnancy,ICD10CM,10,FALSE
1571700,O26.0,Excessive weight gain in pregnancy,ICD10CM,10,FALSE
1571701,O26.1,Low weight gain in pregnancy,ICD10CM,10,FALSE
1571703,O26.3,Retained intrauterine contraceptive device in pregnancy,ICD10CM,10,FALSE
1571704,O26.4,Herpes gestationis,ICD10CM,10,FALSE
1571705,O26.5,Maternal hypotension syndrome,ICD10CM,10,FALSE
1571706,O26.6,"Liver and biliary tract disorders in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571707,O26.61,Liver and biliary tract disorders in pregnancy,ICD10CM,10,FALSE
1571708,O26.7,"Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571709,O26.71,Subluxation of symphysis (pubis) in pregnancy,ICD10CM,10,FALSE
1571710,O26.8,Other specified pregnancy related conditions,ICD10CM,10,FALSE
1571711,O26.81,Pregnancy related exhaustion and fatigue,ICD10CM,10,FALSE
1571712,O26.82,Pregnancy related peripheral neuritis,ICD10CM,10,FALSE
1571713,O26.83,Pregnancy related renal disease,ICD10CM,10,FALSE
1571714,O26.84,Uterine size-date discrepancy complicating pregnancy,ICD10CM,10,FALSE
1571715,O26.85,Spotting complicating pregnancy,ICD10CM,10,FALSE
1571717,O26.89,Other specified pregnancy related conditions,ICD10CM,10,FALSE
1571718,O26.9,"Pregnancy related conditions, unspecified",ICD10CM,10,FALSE
1571719,O28,Abnormal findings on antenatal screening of mother,ICD10CM,10,FALSE
1571720,O29,Complications of anesthesia during pregnancy,ICD10CM,10,FALSE
