"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id","domain_id","group"
2213591,"90964","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents","CPT4","CH","Observation","B"
2213592,"90965","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents","CPT4","CH","Observation","B"
2213595,"90968","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 2-11 years of age","CPT4","CH","Observation","B"
2213596,"90969","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 12-19 years of age","CPT4","CH","Observation","B"
2213597,"90970","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 20 years of age and older","CPT4","CH","Observation","B"
2213598,"90989","Dialysis training, patient, including helper where applicable, any mode, completed course","CPT4","CH","Procedure","B"
2213601,"90999","Unlisted dialysis procedure, inpatient or outpatient","CPT4","CH","Procedure","B"
2313999,"93990","Duplex scan of hemodialysis access (including arterial inflow, body of access and venous outflow)","CPT4","CH","Procedure","B"
44836487,"996.81","Complications of transplanted kidney","ICD9CM","09","Condition","B"
2718324,"J0882","Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)","HCPCS","CH","Drug","B"
45548653,"N18.6","End stage renal disease","ICD10CM","10","Condition","B"
2720773,"Q4081","Injection, epoetin alfa, 100 units (for esrd on dialysis)","HCPCS","CH","Drug","B"
45546763,"T86.10","Unspecified complication of kidney transplant","ICD10CM","10","Condition","B"
37097035,"T86.10","Unspecified complication of kidney transplant","ICD10GM","10","Condition","B"
45609393,"T86.11","Kidney transplant rejection","ICD10CM","10","Condition","B"
37097036,"T86.11","Kidney transplant rejection","ICD10GM","10","Condition","B"
37097037,"T86.12","Kidney transplant failure","ICD10GM","10","Condition","B"
45599829,"T86.12","Kidney transplant failure","ICD10CM","10","Condition","B"
45575625,"T86.13","Kidney transplant infection","ICD10CM","10","Condition","B"
45537090,"T86.19","Other complication of kidney transplant","ICD10CM","10","Condition","B"
37097038,"T86.19","Other complication of kidney transplant","ICD10GM","10","Condition","B"
42501637,"V42.0","Kidney replaced by transplant","KCD7","09","Condition","B"
44821546,"V42.0","Kidney replaced by transplant","ICD9CM","09","Condition","B"
20155,"V42.0","Kidney replaced by transplant","ICD10CM","09","Condition","B"
45609496,"V42.0","Kidney replaced by transplant","ICD10","09","Condition","B"
45595522,"Z48.22","Encounter for aftercare following kidney transplant","ICD10CM","10","Observation","B"
37609734,"Z94.0","Kidney transplant status","CIM10","10","Condition","B"
35225404,"Z94.0","Kidney transplant status","ICD10CM","10","Condition","B"
1435670,"Z94.0","Kidney transplant status","ICD10CN","10","Condition","B"
45566477,"Z94.0","Kidney transplant status","ICD10","10","Condition","B"
42505888,"Z94.0","Kidney transplant status","KCD7","10","Condition","B"
37081358,"Z94.0","Kidney transplant status","ICD10GM","10","Condition","B"
