input_str,concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,concept_class_id,systemic
aspirin,1828129,002800069,"aspirin, dextromethorphan hydrobromide, phenylephrine bitartrate ORAL KIT",NDC,ND,9-digit NDC,TRUE
aspirin,44468056,002800211,"anhydrous citric acid, sodium bicarbonate, and aspirin 500mg/1 / 1000mg/1 / 1985mg/1 ORAL GRANULE, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,45804780,002801400,"aspirin, chlorpheniramine maleate, and phenylephrine bitartrate 2mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,45146379,002801410,"aspirin, dextromethorphan hydrobromide, and phenylephrine bitartrate 10mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT [alka-seltzer plus day non drowsy cold medicine citrus]",NDC,ND,9-digit NDC,TRUE
aspirin,45804781,002801420,"aspirin, chlorpheniramine maleate, dextromethorphan hydrobromide, and phenylephrine bitartrate 2mg/1 / 10mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,45180492,002801430,"aspirin, doxylamine succinate, phenylephrine bitartrate, and dextromethorphan hydrobromide 10mg/1 / 500mg/1 / 7.8mg/1 / 6.25mg/1 ORAL TABLET, EFFERVESCENT [alka-seltzer plus night cold medicine]",NDC,ND,9-digit NDC,TRUE
aspirin,45804782,002801440,"aspirin, chlorpheniramine maleate, and phenylephrine bitartrate 2mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT [alka-seltzer plus cold formula (orange zest)]",NDC,ND,9-digit NDC,TRUE
aspirin,45804783,002801460,"aspirin, chlorpheniramine maleate, and phenylephrine bitartrate 2mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT [alka-seltzer plus cold formula (cherry burst)]",NDC,ND,9-digit NDC,TRUE
aspirin,44468066,002801510,"aspirin, chlorpheniramine maleate, phenylephrine bitartrate 2mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,44468067,002801520,"aspirin, chlorpheniramine maleate, phenylephrine bitartrate 2mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,44468068,002801530,"aspirin, phenylephrine bitartrate, dextromethorphan hydrobromide, chlorpheniramine maleate 2mg/1 / 10mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,44468069,002801540,"aspirin, dextromethorphan hydrobromide, phenylephrine bitartrate ORAL KIT",NDC,ND,9-digit NDC,TRUE
aspirin,44468070,002801541,"aspirin, dextromethorphan hydrobromide, doxylamine succinate, phenylephrine bitartrate 10mg/1 / 500mg/1 / 7.8mg/1 / 6.25mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,36189364,002801545,"aspirin, dextromethorphan hydrobromide, doxylamine succinate, phenylephrine bitartrate 10mg/1 / 500mg/1 / 7.8mg/1 / 6.25mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,36189365,002801550,"aspirin, dextromethorphan hydrobromide, phenylephrine bitartrate, doxylamine succinate ORAL KIT",NDC,ND,9-digit NDC,TRUE
aspirin,36189366,002801555,"aspirin, chlorpheniramine maleate, dextromethorphan hydrobromide, phenylephrine bitartrate 2mg/1 / 10mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,45804784,002802000,aspirin 325mg/1 ORAL TABLET,NDC,ND,9-digit NDC,TRUE
aspirin,45804785,002802020,bayer aspirin extra strength 500mg/1 ORAL TABLET [bayer aspirin extra strength caplets],NDC,ND,9-digit NDC,TRUE
aspirin,45197669,002802030,"acetaminophen, aspirin, and caffeine 65mg/1 / 250mg/1 ORAL TABLET [bayer migraine formula]",NDC,ND,9-digit NDC,TRUE
aspirin,45804786,002802040,"aspirin 500mg/1 ORAL TABLET, COATED [bayer plus extra strength]",NDC,ND,9-digit NDC,TRUE
aspirin,45804787,002802070,"aspirin,diphenhydramine citrate 38mg/1 / 500mg/1 ORAL TABLET, COATED [bayer pm]",NDC,ND,9-digit NDC,TRUE
aspirin,45804788,002802080,"aspirin 81mg/1 ORAL TABLET, CHEWABLE [bayer aspirin regimen chewable low dose aspirin orange]",NDC,ND,9-digit NDC,TRUE
aspirin,45804789,002802090,"aspirin 81mg/1 ORAL TABLET, CHEWABLE [bayer chewable - aspirin regimen low dose aspirin cherry flavored]",NDC,ND,9-digit NDC,TRUE
aspirin,45044434,002802100,aspirin 81mg/1 ORAL TABLET [bayer low dose],NDC,ND,9-digit NDC,TRUE
aspirin,45804790,002802110,"aspirin 325mg/1 ORAL TABLET, COATED [bayer aspirin regimen enteric coated]",NDC,ND,9-digit NDC,TRUE
aspirin,45804791,002802150,"aspirin,caffeine 500mg/1 / 35.5mg/1 ORAL TABLET [bayer back and body extra strength]",NDC,ND,9-digit NDC,TRUE
aspirin,45804792,002802200,"aspirin 81mg/1 / 777mg/1 ORAL TABLET, COATED",NDC,ND,9-digit NDC,TRUE
aspirin,45044436,002802500,aspirin 500mg/1 ORAL POWDER [bayer fast release],NDC,ND,9-digit NDC,TRUE
aspirin,44925377,002802600,aspirin and caffeine 65mg/1 / 500mg/1 ORAL TABLET [bayer am extra stength],NDC,ND,9-digit NDC,TRUE
aspirin,45163572,002802605,aspirin 325mg/1 ORAL TABLET [bayer advanced aspirin regular strength],NDC,ND,9-digit NDC,TRUE
aspirin,45300475,002802610,aspirin 500mg/1 ORAL TABLET [bayer advanced aspirin extra strength],NDC,ND,9-digit NDC,TRUE
aspirin,44857089,002802635,aspirin and caffeine 500mg/1 / 32.5mg/1 ORAL CAPSULE [bayer headache relief],NDC,ND,9-digit NDC,TRUE
aspirin,45804793,002804000,"anhydrous citric acid, aspirin, and sodium bicarbonate 325mg/1 / 1000mg/1 / 1916mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,45351445,002804035,"anhydrous citric acid, sodium bicarbonate, and aspirin 500mg/1 / 1000mg/1 / 1985mg/1 ORAL GRANULE, EFFERVESCENT [alka-seltzer xtra strength]",NDC,ND,9-digit NDC,TRUE
aspirin,44468368,003630021,"acetaminophen, aspirin, and caffeine 65mg/1 / 250mg/1 ORAL CAPSULE",NDC,ND,9-digit NDC,TRUE
aspirin,45027630,003630157,"aspirin 325mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,45112828,003630159,"acetaminophen, aspirin, caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [headache relief extra strength]",NDC,ND,9-digit NDC,TRUE
aspirin,44857252,003630164,"aspirin and caffeine 32mg/1 / 400mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,44891504,003630183,"aspirin 325mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,45163762,003630218,"aspirin 81mg/1 ORAL TABLET, CHEWABLE",NDC,ND,9-digit NDC,TRUE
aspirin,44857256,003630227,"aspirin 325mg/1 ORAL TABLET, COATED",NDC,ND,9-digit NDC,TRUE
aspirin,45804846,003630247,"acetaminophen, aspirin, caffeine 65mg/1 / 250mg/1 ORAL TABLET [headache relief extra strength]",NDC,ND,9-digit NDC,TRUE
aspirin,44993223,003630374,"acetaminophen, aspirin, caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,44925541,003630397,"aspirin 81mg/1 ORAL TABLET, CHEWABLE",NDC,ND,9-digit NDC,TRUE
aspirin,44857272,003630414,"aspirin 81mg/1 ORAL TABLET, COATED",NDC,ND,9-digit NDC,TRUE
aspirin,42833876,003630421,"aspirin, citric acid, sodium bicarbonate 325mg/1 / 1000mg/1 / 1916mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,45078766,003630431,"aspirin, caffeine 500mg/1 / 32.5mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,45061712,003630439,"aspirin 81mg/1 ORAL TABLET, COATED",NDC,ND,9-digit NDC,TRUE
